LotNumber,Title,Description,Quantity,StartBidEach,SellerCode,Source,Retail Price
86m,Havalance Flip Top Sofa/Console Table -(W4),"Retail Price: $650
Condition: New - Packaging flawed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$650 With its richly rustic finish and textural mix, the Havalance flip-top sofa table goes to town on bygone beauty. Its distressed two-tone treatment blends a weathered gray with vintage white for an utterly charming effect. Expecting company? Simply open the flip-top panels to instantly create an impromptu dining space. Made of pine wood, pine veneer and engineered wood Two-tone distressed finish; weathered gray top and vintage white base Flip-top design Fixed lower shelf Assembly required Estimated Assembly Time: 30 Minutes.",1,5.00,ATXSUGAR,Wayfair,650
2,GHV Cordless Zebra Blinds 29x64 Gray,"Retail Price: $39
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$39 Material Features: Our zebra blinds are made of 100% polyester fiber and crafted using a premium laser cutting technique, resulting in smoother, precisely finished edges. Blinds feature good ventilation, UV protection, heat insulation, oil stains resistance, and easy cleaning Cordless Design: Eliminate the risk of cord entanglement, making it safer for homes with children and pets Excellent Light Control: Adjust the lighting by simply pulling the handle up or down. Our zebra blinds can block up to 75% of light, letting in natural light while still providing some level of privacy Versatile Style: The blinds are made from matte aluminium alloy for the top and bottom rail,which gives blinds more exquisite looking Cleaning Method: Wipe with damp cloth in a seconds or use duster. Do not machine wash Size Selection: For inside mounting, subtract 0.25"" to 1"" from your window s width to ensure smooth operation. For outside mounting, select a shade that matches or exceeds your window s dimensions for full coverage.ensures the shade will cover the desired area effectively.",1,,ATXSUGAR,,39
3,"Commercial Deep Fryer Filter AF45, 304 SS","Retail Price: $149
Notes: Corner slightly bent.
Condition: Used - Good
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$149 Deep fryer filters compatibility: This deep fryer filter is suitable for commercial deep fryers and is compatible with the Avantco FF300 (liquefied gas/natural gas) EF40 series(EF40-208-1/3, EF40-240-1/3), compatible with Pitco 350S/40C/40S/35C+S, compatible with Sierra SRF3540 other brands. Before purchasing, please confirm your fryer size and view our deep fryer filter size image (13.75"" x 13.75"") Save on frying oil costs: The deep fryer screen filters a lot of food debris, preventing it from carbonizing in the low-temperature zone, making it easier to clean. It also extends frying oil life by up to 40%, significantly improving cost control and product quality Easier oil temperature control: Filter for deep fryer commercial The filters are equipped with a stainless steel oil thermometer for better monitoring and control of the frying oil temperature. This ensures more flavorful food and prevents spoilage caused by under- or over-heating the frying oil Easy Cleaning: The deep fryer filter uses a 550-micron filter to prevent food debris from carbonizing and sticking to the fryer, making it easier to clean. The filter is dishwasher-safe or can be cleaned with a brush for quick and easy cleaning. Important: After cleaning, ensure it is completely dry before re-entering the fryer to prevent splashing of hot oil High-Quality 304 Stainless Steel: The deep fryer filter, including the handle, filter, and grille, is made of high-quality 304 stainless steel.",1,,ATXSUGAR,"Amazon Bstock, Amazon Bstock, Amazon Bstock",149
4,InSinkErator EZ Connect Power Cord,"Retail Price: $18
Condition: New - Packaging flawed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$18 The EZ Connect Cord makes it faster and easier to connect a power cord into a InSinkErator  EZ Connect garbage disposer. Our new EZ Connect Cord plugs directly into the disposer, eliminating the need to wire the power cord into the disposer. Once installed, the disposer plugs directly into a standard wall outlet. Compatible with all lnSinkErator EZ Connect Power Series and EZ Connect Advanced Series Models Includes a three-foot UL Listed cord and installation instructions Meets Underwriter Laboratories Inc SPT-3 category for insulation thickness and moisture resistance America's #1 Disposer Brand: Genuine lnSinkErator product Color/Finish Family: Black Manufacturer Color/Finish: Black Series Name: EZ Connect Power Cord Type: Installation tool Assembled Length (Inches): 3 Diameter (Inches): 1.125 Height (Inches): 1.25 Extendable: No Flange Included: No Flexible: No Material: Rubber Stopper Included: Yes Strainer Included: No Brand/Model Compatibility: InSinkErator CA Residents: Prop 65 Warning(s): No UNSPSC: 52141500",1,,ATXSUGAR,"Best Buy, Best Buy, Best Buy, Best Buy",18
5,"Hanaive 20Pcs Artificial Anthurium, 23.6"" Black","Retail Price: $10
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$10 Sufficient Quantity: 20 pieces artificial anthurium flowers, sufficient quantity to meet your daily use and replacement; Ideal for wedding bridal bouquets and floral decorations, as well as home and garden outdoor decorations Suitable Size: the length of the white lily flowers is 23.6inch /60cm tall, witch can be bent arbitrarily and adjusted in height, the size of the flower is 5.12X4.72inch/13X12cm, replicating the natural size and texture of a real anthurium lily flowers; They are beautiful and realistic, decoration for indoor or outdoor Material: these fake anthurium flowers parts are made of PU, The stems are made of iron wire, which is extremely flexible and easy to bend or cut, ensuring longevity and maintaining a fresh appearance throughout the year Easy to Maintain: the anthurium lily flowers is very easy to maintain, require no watering, sunlight, or trimming, durable, never wither, no need to care and maintenance; The vivid and realistic decorative effect makes your home full of nature all year round; If you love plants but don't have time to take care of them, this fake plant will be a good choice Wide Applications: the faux anthurium flowers are very suitable for wedding bridal bouquet and flower decoration, home and garden outdoor decoration; Mix them up with Rose, Leafy plants, or any decoration you like will have a different effect parlours, are very suitable for decorating offices, parties, hotels, restaurants, etc.",1,,ATXSUGAR,,10
6,White Cordless Vinyl Blind 30x36 (2 pack),"Retail Price: $30
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$30 At Chicology, we believe that style does not have to come at a heavy price. For this reason, our Cordless 1 in. Vinyl Mini Blinds are a classic window treatment with a sleek and durable design. Our popular colors allow you the freedom to choose a stylish and budget friendly product to accentuate any room, such as: Kitchen: Our durable and warp resistant mini blinds make these perfect for kitchen and dining rooms. Accidents happen, which is why our easy to clean shades make these a go-to window treatment for your kitchen and dining room. Bedroom: Control the amount of light and privacy with our cordless lift feature and rotating wand.",1,,ATXSUGAR,"PDX7, PDX7, PDX7, PDX7",30
7,Bosch Dishwasher Power Cord w/JBox SMZPCJB1UC,"Retail Price: $30
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$30 Great tools at a great price.",1,,ATXSUGAR,"Best Buy, Best Buy, Best Buy, Best Buy",30
8,"uxcell Air Vents Cover, 2Pcs 650x100mm (White)","Retail Price: $43
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$43 Basic Size - Introducing our air vent cover, featuring overall dimensions of 650 x 100mm.The internal diameter measures 625x89 mm, with a thickness of 15mm, allowing for optimal airflow. The vent cover is designed with small screw holes measuring 3mm in diameter. Good Material - Our air vent cover is made from good aluminum alloy, known for its durability and corrosion resistance. This material ensures that the cover can withstand regular use and maintain its structural integrity over time. Rest assured that this vent cover grid is evenly distributed and will provide reliable ventilation while adding a touch of elegance to your space. Anti-Slip Groove Design - The vent cover features a unique anti-slip groove design, which helps to prevent slipping or sliding.",1,,ATXSUGAR,,43
9,"ProHeal Specimen Pan, Toilet Hat, 40oz (2-Pack)","Retail Price: $10
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$10 DURABLE TOILET HAT: ProHeal's hat for urine collection is crafted from heavy-duty plastic and reinforced side ribbing, ensuring prolonged and reliable usage. SPECIMEN CUPS: These toilet hats to catch urine are the preferred tool for urine and stool analysis; hospitals and pharmacies trust their easy-to-use design. UNIVERSAL SIZE: Designed with broad side wings to fit all toilet sizes, this urine catcher for the toilet will ensure no pee or fecal spills or leaks. EASY POUR SPOUT: ProHeal's urinal toilet testing hat has easy-to-read collection measurements and a front groove for easy transfer to urine cups or sample cups. QUANTITY CHOICE: This premium urine sample container comes in multiple quantities for added convenience, packages of 2, 4, 10, 25, and 100. DURABLE TOILET HAT: ProHeal's hat for urine collection is crafted from heavy-duty plastic and reinforced side ribbing, ensuring prolonged and reliable usage.",1,,ATXSUGAR,,10
10,Dishwasher Power Cord with Junction Box,"Retail Price: $20
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$20 Compatible with all Bosch dishwashers. Junction box cord for use in hard-wired installations. See installation instructions for details.. Compatible with all Bosch dishwashers. Power cord junction box length of 53 in.. For use with hard-wired installations.",1,,ATXSUGAR,,20
